site,census,code,genus,species,n10g,r10g,f10g,l10g,u10g,n50g,r50g,f50g,l50g,u50g,n100g,r100g,f100g,l100g, 
BCI,1982-1985,bc1,Cecropia,insignis,50,13.552,10.566,7.847,14.592,48,2.409,2.358,1.775,3.137,147,2.037,2.005,1.678,2.387
BCI,1982-1985,bc1,Cecropia,obtusifolia,1,42.488,3.754,1.753,7.55,2,14.884,2.861,1.496,5.688,19,1.836,1.698,1.095,2.652
BCI,1982-1985,bc1,Cedrela,odorata,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2.646,1.551,0.702,3.756
BCI,1982-1985,bc1,Ceiba,pentandra,15,14.671,7.772,4.945,12.48,5,3.617,2.407,1.339,4.268,16,1.157,1.182,0.75,1.952
BCI,1982-1985,bc1,Celtis,schippii,71,2.664,2.663,2.07,3.404,48,1.105,1.198,0.929,1.617,37,0.73,0.78,0.554,1.056
BCI,1982-1985,bc1,Cespedesia,spathulata,3,4.071,3.083,1.64,5.957,0,NA,NA,NA,NA,1,8.833,1.817,0.746,4.656
BCI,1982-1985,bc1,Cestrum,megalophyllum,193,2.574,2.578,2.211,3.014,3,1.056,1.637,0.858,3.03,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Chamguava,schippii,172,2.329,2.36,1.951,2.772,13,2.429,2.214,1.388,3.363,1,3.088,1.418,0.589,3.52
BCI,1982-1985,bc1,Chimarrhis,parviflora,1,0.879,2.503,1.254,5.334,2,5.061,2.257,1.157,4.682,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Chrysochlamys,eclipes,331,2.217,2.232,1.974,2.539,56,1.68,1.708,1.299,2.216,1,1.812,1.352,0.521,3.328
BCI,1982-1985,bc1,Chrysophyllum,argenteum,259,2.147,2.167,1.886,2.467,53,2.482,2.379,1.824,3.141,67,1.376,1.371,1.055,1.753
BCI,1982-1985,bc1,Chrysophyllum,cainito,38,1.825,1.986,1.422,2.773,6,3.103,2.284,1.352,4.034,12,2.177,1.852,1.122,3.087
BCI,1982-1985,bc1,Cinnamomum,triplinerve,36,3.106,3.04,2.173,4.362,12,4.923,3.399,2.039,5.65,14,2.282,1.984,1.181,3.118
BCI,1982-1985,bc1,Clidemia,dentata,7,3.711,3.199,1.877,5.464,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Coccoloba,coronata,114,1.847,1.917,1.555,2.339,18,1.234,1.405,0.903,2.081,16,1.157,1.168,0.731,1.873
BCI,1982-1985,bc1,Coccoloba,manzinellensis,324,2.21,2.227,1.986,2.533,53,1.277,1.352,1.023,1.76,7,0.303,0.523,0.28,0.966
BCI,1982-1985,bc1,Cojoba,rufescens,2,2.998,2.759,1.47,5.841,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Conostegia,bracteata,3,6.9,3.536,1.923,6.828,1,6.589,2.161,1.109,4.714,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Conostegia,cinnamomea,224,2.541,2.542,2.195,2.931,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Cordia,alliodora,26,2.627,2.701,1.88,3.882,8,3.809,2.712,1.588,4.814,50,1.798,1.719,1.269,2.322
BCI,1982-1985,bc1,Cordia,bicolor,276,3.908,3.864,3.358,4.404,96,3.093,3.001,2.442,3.674,233,1.848,1.838,1.602,2.101
BCI,1982-1985,bc1,Cordia,lasiocalyx,663,3.583,3.576,3.263,3.89,441,1.559,1.561,1.414,1.732,376,0.78,0.783,0.701,0.876
BCI,1982-1985,bc1,Coussarea,curvigemmia,1130,2.64,2.649,2.489,2.828,234,1.536,1.544,1.359,1.768,38,0.918,0.954,0.696,1.352
BCI,1982-1985,bc1,Coutarea,hexandra,1,8.21,3.144,1.471,6.312,1,1.845,1.879,0.86,3.911,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Croton,billbergianus,214,7.14,6.9,5.913,7.97,71,4.332,3.992,3.174,5.081,44,2.503,2.332,1.769,3.229
BCI,1982-1985,bc1,Cupania,cinerea,3,2.503,2.74,1.512,5.163,2,0.55,1.54,0.743,2.75,1,2.851,1.438,0.577,3.69
BCI,1982-1985,bc1,Cupania,latifolia,29,3.608,3.416,2.406,4.806,8,1.748,1.825,1.111,3.079,8,3.288,2.313,1.242,4.305
BCI,1982-1985,bc1,Cupania,rufescens,39,2.709,2.772,1.961,3.794,4,2.567,2.096,1.106,4.181,5,3.162,2.051,1.009,3.846
BCI,1982-1985,bc1,Cupania,seemannii,705,2.692,2.694,2.475,2.926,115,1.677,1.693,1.393,2.001,22,0.923,0.978,0.648,1.444
BCI,1982-1985,bc1,Cyathea,petiolata,2,0.337,1.927,0.994,3.855,1,0.398,1.587,0.789,3.243,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Dendropanax,arboreus,31,3.507,3.345,2.369,4.828,25,2.113,2.052,1.432,2.943,96,1.112,1.116,0.904,1.365
BCI,1982-1985,bc1,Desmopsis,panamensis,8992,2.212,2.211,2.16,2.265,983,1.313,1.318,1.232,1.412,9,0.948,1.042,0.554,1.821
BCI,1982-1985,bc1,Diospyros,artanthifolia,24,3.275,3.184,2.123,4.77,10,1.786,1.829,1.101,3.082,9,0.966,1.037,0.594,1.865
BCI,1982-1985,bc1,Dipteryx,oleifera,13,1.809,2.176,1.403,3.467,2,1.12,1.723,0.905,3.247,8,2.989,2.194,1.19,4.006
BCI,1982-1985,bc1,Drypetes,standleyi,1525,2.433,2.437,2.309,2.574,331,2.244,2.232,1.993,2.497,183,1.551,1.537,1.313,1.823
BCI,1982-1985,bc1,Enterolobium,schomburgkii,6,4.093,3.239,1.818,5.878,3,2.419,2.015,1.108,3.755,1,8.007,1.773,0.714,4.577
BCI,1982-1985,bc1,Erythrina,costaricensis,68,1.858,1.956,1.544,2.571,92,1.096,1.152,0.926,1.402,37,0.654,0.7,0.496,0.961
BCI,1982-1985,bc1,Erythroxylum,macrophyllum,225,1.962,1.983,1.707,2.337,23,1.187,1.353,0.903,2.029,17,1.916,1.769,1.055,2.737
BCI,1982-1985,bc1,Erythroxylum,panamense,91,2.311,2.346,1.881,2.957,5,1.413,1.725,0.995,3.063,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Eugenia,coloradoensis,569,2.201,2.216,2.027,2.441,93,2.026,2.014,1.599,2.474,69,1.37,1.369,1.067,1.732
BCI,1982-1985,bc1,Eugenia,galalonensis,816,2.224,2.23,2.057,2.412,54,1.78,1.801,1.382,2.347,20,1.271,1.281,0.836,1.951
BCI,1982-1985,bc1,Eugenia,nesiotica,387,1.892,1.914,1.707,2.148,43,1.393,1.456,1.071,1.996,42,0.98,0.999,0.717,1.363
BCI,1982-1985,bc1,Eugenia,oerstediana,1464,2.37,2.373,2.251,2.512,258,2.002,2.008,1.771,2.26,114,1.281,1.283,1.048,1.553
BCI,1982-1985,bc1,Faramea,occidentalis,15749,3.035,3.034,2.979,3.084,4954,1.695,1.695,1.647,1.748,1103,0.886,0.887,0.83,0.943
BCI,1982-1985,bc1,Ficus,colubrinae,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,3.647,1.524,0.566,3.738
BCI,1982-1985,bc1,Ficus,costaricana,2,1.091,2.414,1.203,4.567,0,NA,NA,NA,NA,1,2.33,1.44,0.554,3.426
BCI,1982-1985,bc1,Ficus,insipida,4,1.918,2.517,1.401,4.59,1,6.084,2.163,1.09,4.433,1,0.636,1.11,0.429,2.833
BCI,1982-1985,bc1,Ficus,maxima,3,5.14,3.282,1.794,6.471,2,0.923,1.654,0.82,3.265,1,2.195,1.388,0.564,3.432
BCI,1982-1985,bc1,Ficus,obtusifolia,0,NA,NA,NA,NA,1,0.535,1.673,0.798,3.415,1,2.101,1.338,0.54,3.326
BCI,1982-1985,bc1,Ficus,popenoei,1,0.561,2.379,1.213,4.697,1,0.209,1.48,0.697,2.931,5,0.813,1.014,0.495,1.998
BCI,1982-1985,bc1,Ficus,tonduzii,12,2.182,2.464,1.458,4.025,11,1.725,1.796,1.086,2.974,31,0.657,0.708,0.483,1.02
BCI,1982-1985,bc1,Ficus,trigonata,1,0.404,2.355,1.174,4.867,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Garcinia,intermedia,3123,2.434,2.433,2.342,2.528,253,2.057,2.049,1.796,2.361,61,0.974,0.985,0.768,1.295
BCI,1982-1985,bc1,Garcinia,madruno,508,2.734,2.735,2.481,3.014,85,2.612,2.533,2.071,3.202,20,1.092,1.114,0.73,1.697
BCI,1982-1985,bc1,Genipa,americana,49,1.539,1.695,1.281,2.306,14,1.337,1.497,0.958,2.355,19,1.94,1.812,1.137,2.771
BCI,1982-1985,bc1,Guapira,standleyana,59,2.392,2.457,1.895,3.242,54,1.867,1.878,1.463,2.51,70,1.497,1.487,1.154,1.893
BCI,1982-1985,bc1,Guarea,grandifolia,32,2.822,2.839,1.961,4.038,8,1.288,1.596,0.912,2.603,9,2.739,2.117,1.26,3.765
BCI,1982-1985,bc1,Guarea,guidonia,1040,2.402,2.403,2.245,2.564,185,1.646,1.664,1.42,1.932,322,0.799,0.803,0.716,0.908
BCI,1982-1985,bc1,Guatteria,dumetorum,798,2.958,2.955,2.738,3.205,288,1.799,1.804,1.582,2.073,206,1.519,1.512,1.308,1.756
BCI,1982-1985,bc1,Guazuma,ulmifolia,9,3.814,3.242,1.951,5.496,12,1.623,1.729,1.086,2.748,14,1.459,1.444,0.84,2.263
BCI,1982-1985,bc1,Guettarda,foliacea,218,2.357,2.366,2.052,2.77,62,1.539,1.564,1.209,2.018,70,0.928,0.943,0.731,1.19
BCI,1982-1985,bc1,Gustavia,superba,37,3.415,3.311,2.389,4.642,137,1.26,1.288,1.078,1.551,606,0.695,0.698,0.638,0.761
BCI,1982-1985,bc1,Hamelia,axillaris,66,2.194,2.255,1.756,2.922,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Hampea,appendiculata,4,8.576,3.937,2.161,7.118,8,6.571,3.562,2.112,6.26,28,3.652,3.158,2.13,4.619
BCI,1982-1985,bc1,Hasseltia,floribunda,509,2.661,2.662,2.425,2.968,203,1.894,1.893,1.656,2.213,223,1.199,1.202,1.036,1.381
BCI,1982-1985,bc1,Heisteria,acuminata,63,3.446,3.336,2.617,4.309,32,1.703,1.745,1.257,2.429,5,0.372,0.648,0.335,1.331
BCI,1982-1985,bc1,Heisteria,concinna,453,3.664,3.644,3.3,4.048,159,2.002,1.99,1.68,2.364,231,1.055,1.062,0.916,1.221
BCI,1982-1985,bc1,Herrania,purpurea,426,2.113,2.135,1.904,2.368,17,1.218,1.392,0.92,2.173,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Hieronyma,alchorneoides,36,1.578,1.788,1.294,2.543,12,1.19,1.434,0.922,2.362,27,3.168,2.765,1.934,4.14
BCI,1982-1985,bc1,Hirtella,americana,29,3.888,3.638,2.496,5.295,8,1.685,1.818,1.074,3.18,7,0.886,1.007,0.544,1.998
BCI,1982-1985,bc1,Hirtella,triandra,2774,2.938,2.937,2.814,3.073,588,2.134,2.139,1.958,2.342,473,1.052,1.056,0.95,1.162
BCI,1982-1985,bc1,Hura,crepitans,9,1.613,2.166,1.276,3.675,13,1.899,1.878,1.215,3.034,75,1.109,1.101,0.87,1.427
BCI,1982-1985,bc1,Hybanthus,prunifolius,32879,2.059,2.059,2.034,2.084,738,1.161,1.17,1.085,1.26,1,0.105,0.802,0.302,1.904
BCI,1982-1985,bc1,Inga,acuminata,172,4.524,4.4,3.764,5.155,17,3.69,2.989,1.977,4.614,10,3.449,2.536,1.459,4.311
BCI,1982-1985,bc1,Inga,goldmanii,304,2.622,2.637,2.34,2.985,73,1.561,1.58,1.234,1.984,45,0.902,0.922,0.685,1.267
BCI,1982-1985,bc1,Inga,laurina,52,3.515,3.427,2.54,4.619,9,1.915,1.903,1.078,3.261,6,0.655,0.868,0.477,1.624
BCI,1982-1985,bc1,Inga,marginata,471,3.278,3.261,2.938,3.608,52,5.617,4.879,3.722,6.443,47,2.76,2.573,1.891,3.394
BCI,1982-1985,bc1,Inga,mucuna,0,NA,NA,NA,NA,1,3.298,1.978,0.959,3.982,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Inga,nobilis,537,2.927,2.92,2.659,3.209,127,2.349,2.32,1.916,2.814,27,0.674,0.737,0.488,1.075
BCI,1982-1985,bc1,Inga,oerstediana,4,2.753,2.794,1.545,5.02,1,2.602,1.962,0.95,4.06,3,1.222,1.228,0.52,2.607
BCI,1982-1985,bc1,Inga,pezizifera,128,3.327,3.293,2.761,3.981,11,2.047,1.994,1.244,3.263,14,1.853,1.673,1.045,2.715
BCI,1982-1985,bc1,Inga,punctata,5,12.218,4.635,2.564,8.696,5,12.943,4.069,2.264,7.391,6,1.876,1.574,0.791,3.179
BCI,1982-1985,bc1,Inga,ruiziana,17,3.649,3.295,2.117,5.032,4,1.792,1.848,1.01,3.477,7,0.711,0.882,0.502,1.637
BCI,1982-1985,bc1,Inga,sapindoides,182,2.787,2.782,2.362,3.286,83,2.262,2.231,1.788,2.812,52,1.192,1.194,0.903,1.58
BCI,1982-1985,bc1,Inga,spectabilis,3,3.519,2.986,1.643,5.634,6,3.348,2.422,1.37,4.305,11,2.107,1.827,1.076,2.967
BCI,1982-1985,bc1,Inga,umbellifera,678,2.319,2.322,2.13,2.55,144,1.279,1.301,1.099,1.56,12,0.601,0.743,0.426,1.268
BCI,1982-1985,bc1,Jacaranda,copaia,39,4.597,4.162,3.038,5.817,53,2.869,2.732,2.071,3.602,199,2.889,2.838,2.453,3.317
BCI,1982-1985,bc1,Koanophyllon,wetmorei,5,2.927,2.82,1.595,5.198,3,4.428,2.431,1.27,4.652,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Lacistema,aggregatum,1186,2.193,2.194,2.062,2.345,89,1.34,1.385,1.1,1.734,35,0.894,0.925,0.666,1.269
BCI,1982-1985,bc1,Lacmellea,panamensis,27,7.51,5.933,4.104,8.616,26,1.585,1.651,1.157,2.335,34,1.165,1.182,0.829,1.662
BCI,1982-1985,bc1,Laetia,procera,7,15.232,5.858,3.365,10.578,4,2.225,2.052,1.076,3.823,7,3.886,2.425,1.239,4.513
BCI,1982-1985,bc1,Laetia,thamnia,356,2.839,2.85,2.541,3.219,81,2.024,2.009,1.598,2.517,11,1.217,1.23,0.738,2.097
BCI,1982-1985,bc1,Lafoensia,punicifolia,3,10.467,3.823,2.019,7.822,2,4.793,2.296,1.191,4.695,2,4.897,1.915,0.829,4.26
BCI,1982-1985,bc1,Licania,hypoleuca,78,1.795,1.886,1.46,2.386,15,1.243,1.448,0.924,2.204,16,0.726,0.835,0.517,1.342
BCI,1982-1985,bc1,Licania,platypus,212,2.064,2.097,1.797,2.431,17,1.879,1.848,1.19,2.783,4,0.478,0.811,0.398,1.673
BCI,1982-1985,bc1,Lindackeria,laurina,9,2.524,2.681,1.581,4.55,8,3.771,2.675,1.619,4.786,68,0.888,0.898,0.712,1.169
BCI,1982-1985,bc1,Lonchocarpus,heptaphyllus,467,2.442,2.438,2.196,2.711,118,1.621,1.632,1.352,1.934,129,0.913,0.925,0.776,1.12
BCI,1982-1985,bc1,Lozania,pittieri,11,2.379,2.548,1.585,4.156,0,NA,NA,NA,NA,2,0.82,1.139,0.472,2.612
BCI,1982-1985,bc1,Luehea,seemannii,48,5.073,4.597,3.455,6.245,19,2.167,2.066,1.401,3.179,42,1.524,1.493,1.078,2.061
BCI,1982-1985,bc1,Lycianthes,maxonii,1,1.164,2.605,1.346,5.191,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Maclura,tinctoria,1,1.25,2.566,1.255,5.209,1,14.193,2.372,1.095,4.846,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Macrocnemum,roseum,59,2.454,2.502,1.901,3.224,14,1.501,1.621,1.051,2.628,22,0.921,0.96,0.638,1.501
BCI,1982-1985,bc1,Malpighia,romeroana,43,2.151,2.248,1.677,3.09,1,0.724,1.707,0.875,3.445,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Maquira,guianensis,821,2.56,2.563,2.372,2.773,263,1.147,1.165,1.024,1.317,179,0.597,0.611,0.519,0.714
BCI,1982-1985,bc1,Margaritaria,nobilis,2,2.077,2.677,1.316,5.26,0,NA,NA,NA,NA,1,4.031,1.501,0.65,3.911
BCI,1982-1985,bc1,Marila,laxiflora,9,1.525,2.108,1.258,3.508,2,9.088,2.616,1.258,5.368,9,0.554,0.715,0.405,1.27
BCI,1982-1985,bc1,Maytenus,schippii,47,2.225,2.314,1.719,3.138,16,2.244,2.11,1.383,3.275,17,0.75,0.833,0.514,1.305
BCI,1982-1985,bc1,Miconia,affinis,260,3.785,3.738,3.261,4.262,41,2.37,2.284,1.706,3.14,1,5.402,1.606,0.62,4.066
BCI,1982-1985,bc1,Miconia,argentea,314,6.655,6.494,5.736,7.277,28,5.037,4.063,2.859,5.772,39,2.088,1.988,1.456,2.758
BCI,1982-1985,bc1,Miconia,elata,20,3.267,3.09,2.012,4.731,5,1.956,1.932,1.059,3.439,2,0.593,0.977,0.419,2.306
BCI,1982-1985,bc1,Miconia,hondurensis,13,4.065,3.503,2.171,5.618,5,2.703,2.198,1.193,3.975,3,1.23,1.203,0.544,2.698
BCI,1982-1985,bc1,Miconia,impetiolaris,8,6.272,4.084,2.43,7.068,1,1.952,1.915,0.92,3.794,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Miconia,nervosa,176,2.44,2.447,2.109,2.861,1,7.125,2.23,1.053,4.457,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Mosannona,garwoodii,196,2.827,2.827,2.441,3.361,50,0.972,1.066,0.818,1.41,12,0.532,0.666,0.394,1.11
BCI,1982-1985,bc1,Mouriri,myrtilloides,6001,2.117,2.118,2.051,2.179,21,0.931,1.115,0.78,1.662,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Myrcia,gatunensis,33,3.666,3.484,2.458,4.882,2,3.977,2.255,1.09,4.287,3,2.106,1.553,0.762,3.236
BCI,1982-1985,bc1,Myrospermum,frutescens,7,1.558,2.205,1.287,3.72,6,1.091,1.508,0.832,2.558,8,0.764,0.936,0.505,1.699
BCI,1982-1985,bc1,Nectandra,cissiflora,220,4.046,4.005,3.452,4.564,35,4.052,3.481,2.483,4.774,17,3.275,2.662,1.692,4.294
BCI,1982-1985,bc1,Nectandra,lineata,62,2.86,2.858,2.189,3.718,10,3.625,2.743,1.677,4.509,6,1.563,1.426,0.713,2.727
BCI,1982-1985,bc1,Nectandra,purpurea,55,4.161,3.938,3.009,5.135,7,1.741,1.834,1.083,3.183,1,1.395,1.211,0.469,3.143
BCI,1982-1985,bc1,Neea,amplifolia,46,1.78,1.906,1.417,2.582,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Ochroma,pyramidale,1,64.87,3.83,1.919,7.768,0,NA,NA,NA,NA,2,24.028,3.07,1.352,7.612
BCI,1982-1985,bc1,Ocotea,cernua,213,2.521,2.546,2.199,2.952,36,2.686,2.535,1.812,3.51,23,1.62,1.575,1,2.338
BCI,1982-1985,bc1,Ocotea,oblonga,97,4.214,4.086,3.319,5.1,17,3.876,3.065,1.995,4.773,25,3.383,2.914,1.985,4.349
BCI,1982-1985,bc1,Ocotea,puberula,165,3.143,3.138,2.625,3.704,18,3.427,2.882,1.955,4.304,10,6.176,3.852,2.058,6.615
BCI,1982-1985,bc1,Ocotea,whitei,564,3.734,3.718,3.385,4.091,103,3.402,3.263,2.661,4.058,100,2.44,2.352,1.925,2.917
BCI,1982-1985,bc1,Ormosia,amazonica,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0.854,1.137,0.471,3.104
BCI,1982-1985,bc1,Ormosia,coccinea,30,2.738,2.744,1.934,4.06,13,0.979,1.268,0.787,2.057,1,2.788,1.457,0.597,3.807
BCI,1982-1985,bc1,Ormosia,macrocalyx,57,2.674,2.685,2.047,3.529,2,1.832,1.848,0.91,3.666,3,1.211,1.223,0.57,2.675
BCI,1982-1985,bc1,Ouratea,lucens,1011,1.633,1.644,1.53,1.764,27,1.306,1.405,0.961,1.967,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Pachira,quinata,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2.185,1.353,0.52,3.553
BCI,1982-1985,bc1,Pachira,sessilis,10,9.814,5.395,3.234,9.186,3,4.398,2.425,1.218,4.609,6,1.007,1.108,0.596,2.169
BCI,1982-1985,bc1,Palicourea,guianensis,234,6.118,5.934,5.101,6.874,3,2.309,2.013,1.053,3.786,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Pavonia,dasypetala,1,1.25,2.61,1.281,5.054,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Pentagonia,macrophylla,415,1.708,1.726,1.555,1.916,18,1.171,1.374,0.895,2.06,1,0.453,1.049,0.433,2.709
BCI,1982-1985,bc1,Perebea,xanthochyma,180,2.563,2.573,2.195,3.005,37,1.84,1.837,1.344,2.57,14,1.269,1.263,0.782,2.048
BCI,1982-1985,bc1,Picramnia,latifolia,861,2.051,2.057,1.898,2.234,109,1.669,1.703,1.397,2.018,33,1.161,1.167,0.821,1.651
BCI,1982-1985,bc1,Piper,aequale,125,2.663,2.679,2.194,3.224,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1982-1985,bc1,Piper,arboreum,68,2.475,2.517,1.956,3.157,7,1.623,1.737,0.997,3.036,0,NA,NA,NA,NA
